table_name,column_name,data_type
actor,actor_id,INT64
actor,first_name,STRING
actor,last_name,STRING
actor,last_update,TIMESTAMP
address,address_id,INT64
address,address,STRING
address,address2,STRING
address,district,STRING
address,city_id,INT64
address,postal_code,STRING
address,phone,STRING
address,last_update,TIMESTAMP
category,category_id,INT64
category,name,STRING
category,last_update,TIMESTAMP
city,city_id,INT64
city,city,STRING
city,country_id,INT64
city,last_update,TIMESTAMP
country,country_id,INT64
country,country,STRING
country,last_update,TIMESTAMP
customer,customer_id,INT64
customer,store_id,INT64
customer,first_name,STRING
customer,last_name,STRING
customer,email,STRING
customer,address_id,INT64
customer,activebool,BOOL
customer,create_date,DATE
customer,last_update,TIMESTAMP
customer,active,INT64
exchange_rate,rate_date,DATE
exchange_rate,currency,STRING
exchange_rate,rate,FLOAT64
exchange_rate,loaded_at,TIMESTAMP
film,film_id,INT64
film,title,STRING
film,description,STRING
film,release_year,INT64
film,language_id,INT64
film,rental_duration,INT64
film,rental_rate,FLOAT64
film,length,INT64
film,replacement_cost,FLOAT64
film,rating,STRING
film,last_update,TIMESTAMP
film,special_features,RECORD
film,fulltext,STRING
film_actor,actor_id,INT64
film_actor,film_id,INT64
film_actor,last_update,TIMESTAMP
film_category,film_id,INT64
film_category,category_id,INT64
film_category,last_update,TIMESTAMP
inventory,inventory_id,INT64
inventory,film_id,INT64
inventory,store_id,INT64
inventory,last_update,TIMESTAMP
language,language_id,INT64
language,name,STRING
language,last_update,TIMESTAMP
payment,payment_id,INT64
payment,customer_id,INT64
payment,staff_id,INT64
payment,rental_id,INT64
payment,amount,FLOAT64
payment,payment_date,TIMESTAMP
rental,rental_id,INT64
rental,rental_date,TIMESTAMP
rental,inventory_id,INT64
rental,customer_id,INT64
rental,return_date,TIMESTAMP
rental,staff_id,INT64
rental,last_update,TIMESTAMP
staff,staff_id,INT64
staff,first_name,STRING
staff,last_name,STRING
staff,address_id,INT64
staff,email,STRING
staff,store_id,INT64
staff,active,BOOL
staff,username,STRING
staff,password,STRING
staff,last_update,TIMESTAMP
staff,picture,BYTES
store,store_id,INT64
store,manager_staff_id,INT64
store,address_id,INT64
store,last_update,TIMESTAMP
